epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,501.787,1.07108,1.4974,2.17888,0.53538,0.53965,0.54278,0.39298,1.02127,1.47538,2.46429,0.000976813,0.000976813,0.000976813
63,508.547,1.05204,1.47696,2.18148,0.52162,0.58153,0.57096,0.41566,1.02417,1.44079,2.44798,0.000974614,0.000974614,0.000974614
64,515.334,1.0447,1.50407,2.16306,0.53249,0.56884,0.56452,0.40862,1.02023,1.45034,2.44331,0.000972414,0.000972414,0.000972414
65,522.033,1.03526,1.46962,2.14798,0.55107,0.55399,0.55772,0.40265,1.0078,1.48613,2.45382,0.000970214,0.000970214,0.000970214
66,528.8,1.019,1.44866,2.11847,0.57238,0.52538,0.57384,0.41974,1.00441,1.42313,2.46329,0.000968014,0.000968014,0.000968014
67,535.943,1.03233,1.44787,2.15002,0.54289,0.56434,0.5628,0.40537,1.00751,1.46336,2.43981,0.000965815,0.000965815,0.000965815
68,542.564,1.04804,1.46048,2.17139,0.52821,0.56433,0.5626,0.40726,1.00846,1.45635,2.44155,0.000963615,0.000963615,0.000963615
69,549.209,1.01175,1.42495,2.11009,0.50565,0.57743,0.5461,0.39416,0.9905,1.49843,2.45144,0.000961415,0.000961415,0.000961415
70,555.849,1.01543,1.4491,2.12622,0.5611,0.56072,0.57432,0.41939,0.99741,1.44255,2.45429,0.000959215,0.000959215,0.000959215
71,562.687,0.99869,1.40808,2.08811,0.5202,0.5758,0.56519,0.40935,1.00782,1.41102,2.41064,0.000957015,0.000957015,0.000957015
72,569.533,1.02389,1.42169,2.12698,0.52958,0.55826,0.5547,0.40467,0.99156,1.47321,2.42704,0.000954816,0.000954816,0.000954816
73,576.118,1.0287,1.42428,2.14684,0.58921,0.55124,0.58673,0.42313,0.99608,1.42593,2.44356,0.000952616,0.000952616,0.000952616
74,583.013,1.01675,1.43174,2.13085,0.56079,0.55154,0.56953,0.41147,0.99523,1.44253,2.40388,0.000950416,0.000950416,0.000950416
75,589.634,1.02306,1.41348,2.13888,0.5465,0.5817,0.58443,0.42537,0.98572,1.41094,2.41562,0.000948216,0.000948216,0.000948216
76,596.479,1.00248,1.40311,2.09505,0.55023,0.56784,0.58181,0.42213,0.98072,1.40062,2.42756,0.000946016,0.000946016,0.000946016
77,602.977,0.99774,1.39339,2.06858,0.58565,0.5519,0.59639,0.43159,0.9959,1.40817,2.39366,0.000943817,0.000943817,0.000943817
78,610.208,1.02159,1.39997,2.13693,0.53264,0.5773,0.57172,0.41693,0.97644,1.41719,2.40811,0.000941617,0.000941617,0.000941617
79,616.841,0.99162,1.39158,2.11441,0.56341,0.56759,0.58578,0.42477,0.98053,1.39218,2.43003,0.000939417,0.000939417,0.000939417
80,623.585,0.98572,1.36693,2.05119,0.57396,0.57858,0.60011,0.43937,0.97689,1.38359,2.37581,0.000937217,0.000937217,0.000937217
81,630.549,0.98218,1.37042,2.0718,0.54815,0.57627,0.57395,0.41637,0.99184,1.44665,2.39719,0.000935018,0.000935018,0.000935018
82,637.23,0.98808,1.37385,2.09549,0.5589,0.5861,0.59645,0.43533,0.98792,1.38236,2.38823,0.000932818,0.000932818,0.000932818
83,643.929,1.01373,1.3785,2.12696,0.54065,0.59425,0.58541,0.42133,0.97658,1.4088,2.40573,0.000930618,0.000930618,0.000930618
84,650.752,1.00025,1.36867,2.06445,0.54561,0.58748,0.57301,0.41306,0.98256,1.44661,2.38859,0.000928418,0.000928418,0.000928418
85,657.601,0.98214,1.35118,2.06552,0.53605,0.57252,0.57872,0.41704,0.98184,1.43927,2.38463,0.000926218,0.000926218,0.000926218
86,664.439,0.99645,1.37077,2.05021,0.57645,0.56573,0.59788,0.4331,0.98845,1.39313,2.37015,0.000924019,0.000924019,0.000924019
87,671.434,0.99592,1.36834,2.0801,0.55895,0.58034,0.59033,0.42707,0.98409,1.43346,2.38136,0.000921819,0.000921819,0.000921819
88,677.843,0.98855,1.35361,2.07405,0.59563,0.56948,0.6146,0.45503,0.97168,1.3507,2.36658,0.000919619,0.000919619,0.000919619
89,684.556,1.00393,1.36741,2.10997,0.54013,0.60553,0.60628,0.44336,0.96791,1.39656,2.37423,0.000917419,0.000917419,0.000917419
90,691.437,0.98616,1.34744,2.06444,0.59542,0.57601,0.60651,0.44642,0.96993,1.37824,2.36956,0.00091522,0.00091522,0.00091522
91,698.509,0.97254,1.33751,2.04094,0.5384,0.58754,0.58257,0.42731,0.96377,1.41944,2.35842,0.00091302,0.00091302,0.00091302
92,705.105,0.99843,1.349,2.09356,0.55453,0.61091,0.60983,0.4497,0.96228,1.37439,2.36126,0.00091082,0.00091082,0.00091082
93,712.117,0.97147,1.31968,2.05,0.58811,0.59528,0.61773,0.45396,0.9726,1.34085,2.35771,0.00090862,0.00090862,0.00090862
94,718.868,0.97008,1.32966,2.01613,0.53249,0.58944,0.57793,0.42415,0.98008,1.40561,2.33251,0.00090642,0.00090642,0.00090642
95,725.645,0.97653,1.32747,2.07347,0.56479,0.60707,0.61127,0.45386,0.94357,1.37041,2.32041,0.000904221,0.000904221,0.000904221
96,732.351,0.99247,1.36462,2.0646,0.53071,0.59206,0.5788,0.4223,0.95802,1.40976,2.34328,0.000902021,0.000902021,0.000902021
97,739.059,0.93749,1.30237,1.96132,0.59692,0.58614,0.6252,0.46576,0.95089,1.35673,2.28622,0.000899821,0.000899821,0.000899821
98,745.823,0.95856,1.33179,2.05572,0.6093,0.60142,0.63337,0.4788,0.93233,1.32976,2.28965,0.000897621,0.000897621,0.000897621
99,752.721,0.95103,1.29054,1.98465,0.58827,0.60621,0.6347,0.47907,0.93929,1.33398,2.25832,0.000895422,0.000895422,0.000895422
100,759.561,0.94102,1.30431,1.9511,0.59903,0.58315,0.62345,0.47267,0.9353,1.37002,2.22543,0.000893222,0.000893222,0.000893222
101,766.218,0.98083,1.31502,2.00207,0.61701,0.59643,0.63726,0.48589,0.93213,1.34865,2.20355,0.000891022,0.000891022,0.000891022
102,773.149,0.94995,1.30854,1.96785,0.57248,0.61589,0.6218,0.47597,0.91229,1.37856,2.21045,0.000888822,0.000888822,0.000888822
103,779.618,0.94898,1.29807,1.94154,0.64753,0.57857,0.64713,0.50025,0.924,1.32894,2.15782,0.000886622,0.000886622,0.000886622
