epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,663.063,0.77094,0.81504,1.46428,0.71969,0.68193,0.7684,0.6268,0.77728,0.97232,1.60606,0.000990012,0.000990012,0.000990012
57,674.723,0.75752,0.79828,1.43725,0.75785,0.6908,0.78768,0.64844,0.75163,0.87408,1.60123,0.000987812,0.000987812,0.000987812
58,686.364,0.74543,0.78051,1.42606,0.71273,0.72412,0.78485,0.64141,0.76026,0.90466,1.59969,0.000985613,0.000985613,0.000985613
59,697.978,0.77292,0.7919,1.44791,0.72822,0.64178,0.75903,0.61744,0.79776,0.94927,1.61241,0.000983413,0.000983413,0.000983413
60,709.601,0.76306,0.79662,1.4682,0.7604,0.70748,0.79898,0.65557,0.74424,0.86513,1.57928,0.000981213,0.000981213,0.000981213
61,721.201,0.76497,0.79366,1.47943,0.76157,0.70527,0.7962,0.64882,0.75833,0.85777,1.60325,0.000979013,0.000979013,0.000979013
62,732.838,0.76925,0.77025,1.45427,0.74571,0.74716,0.80905,0.66815,0.72874,0.81676,1.5811,0.000976813,0.000976813,0.000976813
63,744.798,0.74793,0.75894,1.46563,0.76413,0.71668,0.81252,0.66985,0.74794,0.84711,1.58264,0.000974614,0.000974614,0.000974614
64,756.729,0.74706,0.75446,1.45123,0.76314,0.7286,0.8134,0.67083,0.73728,0.79582,1.59514,0.000972414,0.000972414,0.000972414
65,768.679,0.75384,0.75592,1.44012,0.73843,0.69343,0.79187,0.64582,0.77802,0.8927,1.61091,0.000970214,0.000970214,0.000970214
66,780.349,0.73611,0.74205,1.43143,0.73066,0.71114,0.78088,0.64247,0.74068,0.88733,1.60103,0.000968014,0.000968014,0.000968014
67,791.94,0.72626,0.72778,1.44409,0.77949,0.71532,0.81315,0.67776,0.70917,0.80686,1.57798,0.000965815,0.000965815,0.000965815
68,803.887,0.76143,0.76368,1.46601,0.72892,0.71639,0.78958,0.64841,0.74732,0.8905,1.57549,0.000963615,0.000963615,0.000963615
69,815.528,0.72424,0.72809,1.43785,0.72859,0.69369,0.77724,0.64157,0.73621,0.90366,1.59798,0.000961415,0.000961415,0.000961415
70,827.178,0.74616,0.7514,1.43929,0.76058,0.71755,0.80599,0.66831,0.72181,0.8456,1.59224,0.000959215,0.000959215,0.000959215
71,838.804,0.73554,0.75538,1.43172,0.70924,0.70682,0.77958,0.6378,0.75047,0.91642,1.58072,0.000957015,0.000957015,0.000957015
72,850.426,0.74071,0.74093,1.44052,0.75519,0.70578,0.79823,0.65683,0.75226,0.863,1.58237,0.000954816,0.000954816,0.000954816
73,862.049,0.75335,0.73272,1.46067,0.77175,0.72329,0.8084,0.66455,0.74239,0.82491,1.58429,0.000952616,0.000952616,0.000952616
74,873.693,0.7154,0.71701,1.43656,0.77121,0.72219,0.8077,0.67464,0.72013,0.83733,1.56747,0.000950416,0.000950416,0.000950416
75,885.283,0.73713,0.715,1.43042,0.73102,0.72847,0.79398,0.65568,0.72995,0.85867,1.57277,0.000948216,0.000948216,0.000948216
76,896.956,0.70104,0.69564,1.40984,0.7478,0.71975,0.81012,0.67403,0.7159,0.84255,1.58585,0.000946016,0.000946016,0.000946016
77,908.602,0.70835,0.70601,1.42247,0.74264,0.73722,0.80572,0.66576,0.72559,0.82671,1.58986,0.000943817,0.000943817,0.000943817
78,920.227,0.72263,0.70187,1.45858,0.77878,0.72936,0.82151,0.68542,0.69653,0.78038,1.56753,0.000941617,0.000941617,0.000941617
79,932.2,0.7007,0.69026,1.42271,0.76689,0.73746,0.8108,0.67419,0.70666,0.78417,1.57014,0.000939417,0.000939417,0.000939417
80,943.826,0.70465,0.69049,1.41111,0.766,0.69991,0.79174,0.65755,0.7272,0.85578,1.57691,0.000937217,0.000937217,0.000937217
81,955.523,0.68195,0.67341,1.41039,0.77984,0.74627,0.82989,0.69496,0.69808,0.75162,1.56158,0.000935018,0.000935018,0.000935018
82,967.464,0.69346,0.68161,1.44487,0.78684,0.73822,0.82346,0.68793,0.70391,0.77673,1.56308,0.000932818,0.000932818,0.000932818
83,979.064,0.70255,0.70451,1.43138,0.79976,0.72858,0.82599,0.68751,0.70988,0.77373,1.56728,0.000930618,0.000930618,0.000930618
84,990.719,0.73463,0.72718,1.42192,0.75939,0.66653,0.76724,0.62884,0.74737,0.94315,1.5778,0.000928418,0.000928418,0.000928418
85,1002.4,0.72065,0.71299,1.42627,0.75209,0.72411,0.81034,0.67364,0.71845,0.81241,1.5683,0.000926218,0.000926218,0.000926218
86,1014.08,0.72543,0.71102,1.42646,0.78991,0.73746,0.82695,0.69032,0.70859,0.7793,1.57035,0.000924019,0.000924019,0.000924019
87,1025.74,0.72115,0.71612,1.44345,0.69058,0.66764,0.72618,0.5955,0.7382,1.01503,1.58375,0.000921819,0.000921819,0.000921819
88,1037.38,0.71924,0.69159,1.43412,0.7855,0.71507,0.80612,0.67084,0.71134,0.80368,1.56469,0.000919619,0.000919619,0.000919619
89,1049.02,0.7285,0.7113,1.45669,0.70985,0.71053,0.7737,0.64095,0.71903,0.90379,1.5679,0.000917419,0.000917419,0.000917419
90,1060.68,0.70514,0.68382,1.43431,0.75643,0.71923,0.80501,0.67264,0.70947,0.83299,1.56268,0.00091522,0.00091522,0.00091522
91,1072.32,0.69185,0.6721,1.41181,0.80046,0.71768,0.82351,0.69066,0.69071,0.77718,1.56636,0.00091302,0.00091302,0.00091302
92,1083.93,0.71583,0.68624,1.43811,0.8191,0.7251,0.8367,0.70028,0.69532,0.74226,1.55927,0.00091082,0.00091082,0.00091082
93,1095.89,0.70772,0.67575,1.41239,0.75493,0.71311,0.79993,0.66488,0.73501,0.82855,1.58488,0.00090862,0.00090862,0.00090862
94,1107.53,0.69563,0.69072,1.39333,0.79963,0.74206,0.83982,0.69847,0.69522,0.74406,1.56371,0.00090642,0.00090642,0.00090642
95,1119.13,0.69643,0.67907,1.43696,0.79337,0.74698,0.83608,0.69945,0.69676,0.74353,1.5557,0.000904221,0.000904221,0.000904221
96,1130.76,0.70249,0.69386,1.4252,0.74783,0.74243,0.80882,0.67457,0.71813,0.80626,1.57292,0.000902021,0.000902021,0.000902021
97,1142.37,0.66798,0.66468,1.39148,0.78026,0.74632,0.82293,0.68796,0.69278,0.77344,1.56296,0.000899821,0.000899821,0.000899821
98,1154.04,0.68025,0.66202,1.43306,0.79393,0.73382,0.82845,0.69248,0.69039,0.76481,1.55219,0.000897621,0.000897621,0.000897621
99,1165.73,0.67387,0.64667,1.40898,0.7792,0.74684,0.82342,0.68951,0.69697,0.77499,1.56554,0.000895422,0.000895422,0.000895422
100,1177.37,0.67167,0.64515,1.40661,0.74623,0.74144,0.80981,0.68114,0.6868,0.78802,1.55361,0.000893222,0.000893222,0.000893222
101,1188.99,0.72168,0.69682,1.43633,0.76957,0.74193,0.81805,0.68598,0.6977,0.78309,1.55861,0.000891022,0.000891022,0.000891022
102,1200.63,0.6881,0.67623,1.42002,0.7547,0.69119,0.775,0.63904,0.72667,0.91279,1.56814,0.000888822,0.000888822,0.000888822
103,1212.27,0.69117,0.66031,1.41149,0.76026,0.73309,0.80684,0.67226,0.69762,0.82034,1.56659,0.000886622,0.000886622,0.000886622
104,1223.9,0.67792,0.64207,1.41396,0.7453,0.75361,0.81978,0.68853,0.68986,0.77419,1.56743,0.000884423,0.000884423,0.000884423
105,1235.53,0.67916,0.64507,1.40207,0.76867,0.73321,0.82167,0.68957,0.68168,0.77447,1.55706,0.000882223,0.000882223,0.000882223
106,1247.16,0.65652,0.63152,1.38866,0.78264,0.75747,0.82801,0.69494,0.68105,0.75708,1.54125,0.000880023,0.000880023,0.000880023
