epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
165,1188.19,0.7151,0.65315,1.4126,0.76658,0.7331,0.80877,0.67077,0.71874,0.78028,1.5271,0.000750236,0.000750236,0.000750236
166,1195.12,0.72368,0.65892,1.42757,0.79191,0.7398,0.8261,0.69174,0.699,0.73403,1.51796,0.000748036,0.000748036,0.000748036
167,1202.51,0.72374,0.67854,1.40595,0.78105,0.75323,0.82327,0.68748,0.70469,0.74107,1.51763,0.000745837,0.000745837,0.000745837
168,1209.95,0.72464,0.6618,1.40858,0.76749,0.7358,0.81299,0.67653,0.7028,0.77394,1.51857,0.000743637,0.000743637,0.000743637
169,1217.17,0.72926,0.66816,1.42193,0.77559,0.73101,0.81962,0.67966,0.7176,0.76785,1.53089,0.000741437,0.000741437,0.000741437
170,1224.21,0.72082,0.66776,1.41245,0.82022,0.7205,0.83162,0.69522,0.69268,0.73042,1.52755,0.000739237,0.000739237,0.000739237
171,1231.24,0.7023,0.6483,1.40748,0.76009,0.70957,0.80051,0.66451,0.71937,0.8122,1.53328,0.000737037,0.000737037,0.000737037
172,1237.99,0.73554,0.6847,1.41047,0.79069,0.74642,0.83246,0.694,0.69779,0.73127,1.52133,0.000734838,0.000734838,0.000734838
173,1245.43,0.72014,0.66334,1.39732,0.75853,0.7562,0.82063,0.68279,0.70061,0.75403,1.52287,0.000732638,0.000732638,0.000732638
174,1252.47,0.71501,0.6604,1.40811,0.79658,0.71835,0.81837,0.68246,0.71048,0.75499,1.52095,0.000730438,0.000730438,0.000730438
175,1259.63,0.72118,0.65444,1.42687,0.78661,0.71134,0.81481,0.67802,0.707,0.77898,1.53161,0.000728238,0.000728238,0.000728238
176,1266.4,0.71128,0.65288,1.39755,0.77621,0.74049,0.82171,0.68926,0.69955,0.74666,1.52536,0.000726038,0.000726038,0.000726038
177,1273.47,0.70582,0.6422,1.40175,0.7886,0.72204,0.8193,0.68337,0.70128,0.75714,1.51792,0.000723839,0.000723839,0.000723839
178,1280.98,0.73314,0.66996,1.41772,0.79066,0.72749,0.8201,0.68505,0.71024,0.75671,1.53256,0.000721639,0.000721639,0.000721639
